Geneid	w1118_1	w1118_2	w1118_3	PcKD_1	PcKD_2	PcKD_3	vgLOF_PcKD_1	vgLOF_PcKD_2	vgLOF_PcKD_3	sdLOF_PcKD_1	sdLOF_PcKD_2	sdLOF_PcKD_3
CG3436	1305	1331	998	1358	1643	1409	1134	962	905	917	734	803
CG33635	133	121	84	150	192	161	161	116	129	134	124	133
spen	4937	3999	2524	6175	6917	5813	5808	4813	4777	4871	5837	5071
mRpL10	257	276	166	255	272	250	262	244	255	256	281	253
CG11617	1	2	4	1	1	1	0	0	1	0	3	0
Tbc1d15-17	663	644	508	738	778	708	750	615	652	619	665	633
kis	10700	9055	6080	15634	16450	14475	12928	10415	10099	10934	11527	10851
CR44220	0	0	0	0	0	0	0	0	0	0	0	0
CR44222	2	2	0	1	1	2	1	1	0	2	0	0
CR44221	0	0	0	0	1	0	0	0	0	0	1	0
snoRNA:kis-a	0	0	0	1	0	0	1	0	0	0	0	0
CG13693	0	2	0	0	0	1	0	0	0	0	0	0
mir-965	0	0	0	0	0	0	0	0	0	0	0	0
CR44218	1	3	1	4	1	4	3	3	4	1	3	4
Rpp30	396	422	295	391	422	389	427	400	381	365	432	398
CG3645	345	366	290	399	446	359	402	355	399	349	345	287
CG17075	77	54	46	164	144	153	101	94	59	120	156	113
CR44219	0	0	0	0	0	0	0	0	0	0	0	0
CG3345	0	10	0	0	4	0	1	0	0	0	0	1
mbm	713	762	532	717	742	668	729	667	699	660	628	605
CG11555	594	544	459	597	655	587	555	425	548	426	486	433
CG17078	1299	1366	1004	1472	1535	1316	1496	1200	1216	1153	1173	1062
smo	1580	1811	1268	2093	2413	1943	2271	1783	1827	1627	1724	1717
CG11601	190	182	151	183	219	207	200	179	201	193	208	181
CG3625	823	755	725	785	994	789	1180	1062	1081	823	1118	782
CR46262	1	0	0	0	0	0	0	0	0	0	0	0
CR46263	31	17	12	16	20	19	31	31	35	37	81	31
Amnionless	16	4	32	5	21	6	10	4	3	0	3	0
CG11562	195	241	166	178	244	208	279	270	331	261	310	296
U2af38	1144	1175	812	1353	1413	1306	1348	1146	1207	1140	1114	1057
Hop	4951	4983	3497	5610	5992	5766	5517	4284	4562	4032	3350	3151
Pi3K21B	1352	1337	1026	1591	1795	1527	1369	1133	1114	1085	1161	1111
Plc21C	1057	913	681	985	1189	832	956	746	759	814	865	656
CR43719	0	0	0	0	0	0	0	0	0	0	0	0
CG11912	0	0	0	0	0	0	0	0	0	0	0	0
CG11911	1	0	0	0	0	0	0	0	0	0	0	0
CG33127	0	0	0	0	0	0	0	0	0	0	0	0
CG43755	0	10	0	0	1	0	0	0	0	0	0	0
CG31921	0	8	0	0	1	0	0	0	0	0	0	0
Ent1	842	814	616	694	876	751	696	643	554	704	681	662
CR45367	0	0	0	0	0	0	0	0	0	0	0	0
CR45366	0	0	0	0	0	1	0	1	0	0	2	0
al	288	361	202	310	384	331	234	204	159	304	178	188
CR43718	0	0	0	0	0	0	0	0	0	0	0	0
CG4213	59	77	48	44	81	11	9	12	13	3	7	10
RpI135	856	926	601	984	1111	922	973	811	935	881	807	701
AP-2alpha	3002	2947	2201	3496	3911	3272	3029	2354	2219	2172	2041	2135
ebi	1845	1921	1385	2209	2564	2076	2288	1893	2016	1993	1788	1668
CG13690	379	409	279	355	416	356	551	456	517	396	460	389
RpLP1	25782	26457	19094	32790	35805	33118	29923	27300	30973	27456	25974	25299
CG11885	310	285	210	307	318	300	301	243	278	214	290	233
CG13692	12	7	2	27	28	43	63	70	91	41	117	33
BBS8	18	18	7	19	17	37	55	66	88	73	102	57
ex	5806	6560	4237	7392	8680	6521	8332	6731	7388	8060	7949	7572
CR43717	9	3	6	8	12	4	6	3	6	3	4	4
crq	879	928	672	1033	1241	996	930	721	756	795	787	646
shv	1121	904	663	999	931	1163	792	697	650	601	589	476
CG4133	73	85	67	133	129	129	40	62	29	73	60	48
CG4297	73	51	56	58	71	80	36	24	19	27	19	20
MED15	1304	1429	931	1298	1275	1182	1286	1197	1184	1261	1141	1064
ush	356	416	312	464	470	446	745	630	559	603	467	476
cbt	270	349	250	492	535	395	472	375	335	417	319	274
CR46258	0	1	0	0	1	0	1	0	1	0	2	0
CR46259	0	0	0	0	0	0	0	0	0	0	0	0
lwr	3542	4029	2756	3715	4240	3741	4282	3662	3991	3864	3695	3424
Spp	2300	2392	1596	2480	2389	2777	2388	2089	1871	1887	1490	1734
Ets21C	7	8	10	42	32	81	278	225	280	160	194	160
nAChRbeta3	193	135	77	122	193	121	219	183	164	114	104	96
rempA	89	115	86	133	129	108	117	126	174	125	179	139
Tspo	977	1073	705	1117	1239	1034	1372	1470	1551	1451	1977	1803
CG11835	34	54	31	27	31	22	19	7	8	18	13	9
CG2794	515	542	387	499	592	484	527	494	504	589	561	613
Nle	668	672	472	604	727	682	863	694	795	735	819	694
CG2807	1927	2005	1383	2545	2781	2317	2553	2066	2264	1919	1772	1770
Ipk2	330	372	300	410	448	423	473	483	496	429	540	485
cold	1700	1805	1322	1907	2197	2042	1720	1533	1506	1394	1512	1605
Ptth	2	3	12	5	4	1	3	6	2	20	33	10
Pph13	10	10	4	32	33	31	37	34	18	23	46	42
Gsc	1	2	3	3	0	2	0	0	0	0	3	0
CR46148	0	0	0	0	0	0	0	0	0	0	0	0
CG13689	210	227	194	276	244	272	223	199	198	242	248	267
CR43648	0	0	0	0	0	0	0	0	0	0	0	0
CR43649	0	0	0	0	1	0	0	1	0	0	0	1
lectin-21Cb	0	2	0	0	0	0	0	0	0	0	0	0
CR44797	0	0	0	0	0	0	0	0	0	0	0	0
CR44798	0	0	0	0	0	0	1	0	0	0	1	0
lectin-21Ca	0	0	0	0	0	0	1	0	0	0	0	0
CG2839	0	0	4	0	0	0	0	0	0	0	0	1
CR45369	0	0	0	0	0	0	0	0	0	0	0	0
ds	5205	5150	3373	8971	9479	8911	10579	8280	8054	8289	9030	9089
CR44988	0	0	0	0	0	0	0	0	0	0	0	0
CR46260	0	0	0	0	0	0	0	0	0	0	0	0
Hsp60B	0	18	5	0	4	0	0	0	0	0	1	0
Eaat2	47	25	71	75	35	45	20	38	16	117	118	32
GABA-B-R3	14	6	7	24	11	17	31	14	9	22	15	3
CR44614	0	0	0	0	0	0	0	0	0	0	0	0
CG12506	1	0	2	0	0	2	0	0	0	0	0	1
CG13946	1	0	5	0	0	4	0	1	0	1	0	0
CG13947	129	43	173	22	5	169	0	0	2	2	28	26
Gr21a	0	0	0	0	1	0	2	0	0	0	0	0
CG3544	0	1	0	0	1	0	0	0	0	0	0	0
Pkg21D	152	70	35	31	59	28	34	11	28	13	12	2
CR45259	0	0	0	0	0	0	0	0	0	0	0	0
Nnf1b	75	80	39	48	51	56	49	44	57	97	94	77
Dbp21E2	320	333	237	353	347	346	384	379	425	352	429	368
Saf6	363	349	245	325	361	313	376	291	342	304	263	279
Pex12	86	69	93	107	96	89	117	94	86	136	148	100
CG15880	0	0	0	0	0	0	0	0	0	0	0	0
CG3876	269	258	199	272	300	261	263	229	220	198	224	208
Clp	315	357	228	358	403	368	406	353	381	377	339	287
CG3662	1516	1622	1299	1848	2036	1733	1966	1776	1709	1814	1847	1609
CG3862	254	293	189	274	316	257	236	236	264	270	258	213
dock	1266	1281	1018	1615	1534	1379	1205	1146	927	1133	1002	929
drongo	2368	2510	1686	3085	3435	3185	2264	1913	1918	2480	2550	2039
CR44060	0	1	4	0	1	1	0	1	1	1	0	1
CG4291	210	197	154	227	233	245	176	209	205	239	203	186
kraken	377	383	242	396	402	359	510	492	508	455	503	418
CG13949	18	4	10	4	1	1	2	0	1	0	0	0
CR45345	7	1	8	0	0	16	0	0	0	0	0	1
mir-375	0	0	0	0	0	0	0	0	0	0	0	0
CG13950	8	3	8	4	0	23	0	0	0	2	1	1
aru	1804	2013	1301	2385	2436	2159	2051	1758	1885	1833	1717	1764
snoRNA:Me28S-U1230	2	4	0	1	1	0	4	0	4	1	2	0
dbe	786	813	678	829	862	737	822	656	704	721	621	561
PNUTS	2044	2230	1411	1658	1645	1640	1623	1486	1407	1532	1584	1329
CG15824	0	3	0	0	1	0	0	1	0	0	1	0
ninaA	7	10	11	18	14	10	1	4	2	3	11	9
CR45348	1	3	5	0	8	0	0	0	0	0	0	0
Lsp1beta	25246	31349	65860	1129	53956	99	70	108	2985	15251	114	91
snRNA:U1:21D	0	0	0	0	0	1	0	0	0	0	0	0
CR45261	0	0	0	0	0	0	0	0	0	0	0	0
CR44061	0	0	0	0	0	0	0	0	0	0	0	0
GluRIIC	29	38	38	5	27	3	6	1	13	3	2	4
CG4341	42	31	70	85	57	73	55	84	28	117	84	35
CR44801	0	0	0	0	0	0	0	0	0	0	0	0
IA-2	312	92	521	648	236	75	40	157	78	393	668	112
CG4375	0	4	0	0	2	0	0	0	0	0	0	0
CG4415	0	0	0	1	1	0	0	0	1	1	1	1
S	1627	1669	1208	2125	2296	2021	1735	1416	1355	1435	1343	1291
ast	451	479	320	457	540	452	541	458	438	424	404	368
Atg4a	642	669	457	739	814	733	728	600	568	713	684	667
CG4629	55	28	49	59	24	28	22	36	26	56	85	27
mtRNApol	393	385	262	393	414	360	417	380	427	478	395	379
CG14339	0	0	0	0	3	0	0	0	0	0	0	0
CG14340	0	0	0	0	0	0	0	0	0	0	0	0
Pino	802	853	603	867	961	1045	722	564	571	697	647	616
CG4552	319	355	272	377	401	395	392	331	297	303	280	265
Iris	9	5	0	14	16	7	2	1	1	3	1	2
CG4577	54	21	97	114	86	26	14	37	33	68	87	13
CR45717	0	0	0	0	0	2	2	1	1	2	0	0
MFS3	1724	1892	1248	1962	1985	1783	2342	2212	2398	1948	2006	1719
l(2)10685	128	157	89	160	141	155	177	149	161	143	123	129
Tfb4	206	226	154	155	211	217	282	242	266	264	231	219
Vps29	585	625	438	678	608	688	662	641	694	580	552	578
capt	3911	4099	2633	4545	4743	4427	4206	3839	3689	3731	3002	2767
CR43767	215	230	124	2	0	1	0	1	0	1	0	0
Tango14	370	404	216	394	413	441	470	438	467	491	536	432
CG5080	138	104	166	134	151	60	71	54	96	101	173	69
IntS14	557	520	365	563	629	609	537	504	517	487	456	404
CG14341	175	160	125	180	215	167	135	147	125	164	164	143
Plap	2056	2018	1327	2277	2401	2195	2048	1817	1876	1713	1579	1402
CG31922	141	150	117	160	176	144	127	116	127	117	145	140
CG5118	353	367	279	415	423	410	418	336	348	458	414	377
CG4887	1190	1355	859	1056	1076	1074	984	985	914	1045	1178	1073
CG4896	917	885	587	616	603	672	583	599	503	678	786	670
CG5126	639	751	448	668	711	695	841	733	708	730	750	627
Tgt	249	286	171	237	282	259	341	314	336	315	292	264
CG5001	493	534	373	507	539	554	516	493	470	651	721	603
CG5139	0	7	2	0	1	0	0	0	0	0	0	0
CG43348	0	0	0	0	0	1	0	0	0	0	0	0
CG43349	0	0	0	0	2	0	0	0	0	0	2	0
CG5011	0	0	0	0	0	0	0	0	0	0	0	0
CG14342	0	0	0	0	0	0	0	0	0	0	0	0
CR45346	0	0	0	0	0	0	0	0	0	0	0	0
CR43263	0	0	0	0	0	0	0	0	0	0	0	0
CG42329	1	18	5	1	1	0	1	0	7	4	1	1
CG5397	419	544	253	548	608	435	362	263	217	156	163	173
robo3	172	170	161	417	316	340	141	185	116	227	200	181
a5	0	0	0	0	0	0	0	0	0	0	0	0
CG5440	0	3	0	0	1	0	0	0	0	0	0	0
CG33923	0	0	0	0	0	0	0	0	0	0	0	0
CG33922	0	0	0	0	0	0	0	0	0	0	0	0
Cdlc2	0	1	0	0	0	0	0	0	0	0	0	0
CR45005	0	0	0	0	0	0	0	0	0	0	0	0
CR45006	0	0	0	0	1	0	0	0	0	0	0	0
CG5556	0	3	2	0	0	0	0	0	0	0	0	0
CG5561	0	2	2	0	0	0	1	0	0	0	0	0
CG31924	0	2	0	0	0	0	0	0	0	0	0	0
CG5565	0	6	0	0	1	0	0	0	0	0	0	0
CG31659	0	0	0	0	0	1	0	0	0	0	0	0
NLaz	58	69	31	67	53	412	43	48	20	91	14	13
CG14346	0	2	0	0	0	0	0	0	0	0	0	0
CR44898	5	4	1	5	5	5	5	3	3	3	2	4
robo2	1672	1796	1221	3341	3359	3143	3636	2974	2822	3702	3722	3506
CR44897	0	0	0	3	8	3	1	2	4	1	4	2
CG43401	0	0	0	0	0	0	0	0	0	0	0	0
snRNA:U3:22A	0	0	0	0	0	1	0	0	0	0	0	0
CG43402	0	0	2	1	69	0	0	0	37	11	1	0
CG31928	0	0	0	0	0	0	0	0	0	0	0	0
CG33128	3	0	0	0	1	0	0	0	0	0	0	0
CG31926	0	0	0	0	0	0	0	0	0	0	0	0
CG31661	0	0	0	0	0	0	0	0	0	0	0	0
CG18131	0	3	0	0	2	2	0	0	0	0	0	0
CG7420	142	153	99	192	207	163	215	192	196	229	212	190
CR44064	0	0	0	0	0	0	0	0	0	0	0	0
CG18132	0	1	0	0	1	0	0	0	0	0	0	0
halo	0	0	0	0	0	0	0	0	0	0	0	0
Or22a	0	0	0	0	0	1	0	0	0	1	0	0
Or22b	0	0	0	0	0	0	0	1	0	0	0	0
haf	501	453	244	563	410	541	362	371	256	291	219	232
CG10869	10	20	9	3	8	1	5	6	5	9	5	3
CG31935	331	322	271	363	421	357	262	243	241	309	263	286
CG14352	122	129	111	187	178	172	198	161	184	182	158	120
RFeSP	829	864	522	1147	1221	1168	856	820	943	875	879	705
CR44603	0	0	0	0	0	0	0	0	0	0	0	0
CR45695	0	0	0	0	0	0	0	0	0	0	0	0
chinmo	371	394	447	637	765	439	1522	1861	2398	1573	3015	2015
cpb	2036	2227	1646	2527	2631	2455	2445	2049	2069	1803	1732	1769
CG17660	831	986	672	947	1041	894	1002	845	864	897	935	800
CR44976	2	2	1	0	1	0	0	2	2	2	1	3
mRpL48	205	242	161	242	305	263	249	273	279	266	306	249
frtz	363	413	248	476	500	473	667	489	520	534	438	445
Rim2	368	395	350	394	438	372	353	319	303	373	300	283
Eno	6121	6538	4565	7680	8217	7320	5546	5108	5304	5049	4635	4766
Rrp40	418	452	259	386	405	421	430	323	429	329	363	366
CG31937	429	448	249	379	425	395	442	422	412	438	478	458
CG17652	192	210	201	225	268	241	213	195	213	219	216	174
CG17646	494	435	228	175	189	205	118	129	62	100	83	53
CG17712	411	426	313	487	514	503	566	470	465	440	458	452
CG17648	0	0	0	0	0	0	0	0	0	0	0	0
Gr22f	0	0	0	0	0	0	0	0	0	0	0	0
CG17650	2	2	1	1	2	1	1	1	1	2	2	0
Gr22e	0	0	0	0	0	0	0	0	0	0	0	0
Gr22d	0	0	0	0	0	0	0	0	0	0	0	0
Gr22c	0	0	0	0	0	0	0	0	0	0	0	0
Gr22b	0	0	0	0	0	0	0	0	0	0	0	0
Gr22a	0	0	0	0	0	0	0	0	0	0	0	1
CG31933	0	1	0	0	1	0	0	0	0	0	0	0
CG31664	7	4	7	1	2	0	0	0	0	0	0	0
c-cup	0	7	1	0	3	0	0	0	0	0	0	0
mir-2280	0	0	0	0	0	0	0	0	0	0	0	0
wry	26	3	51	73	15	3	3	40	3	105	79	0
CR44073	0	0	0	0	0	0	0	0	0	0	0	0
CR44074	0	0	0	0	0	0	0	0	0	0	0	0
CG31663	46	23	92	50	9	15	2	9	6	21	25	4
CG7295	0	0	1	0	1	0	0	0	0	0	0	0
CR44075	0	0	0	0	0	0	0	0	0	0	0	0
CG15358	0	0	0	0	0	0	0	0	0	0	0	0
Wdr62	1347	1342	850	1428	1475	1302	1133	1045	876	970	1068	1006
CG15357	0	1	0	0	0	0	0	0	0	0	0	0
CG33673	0	0	0	0	1	0	0	0	0	0	0	0
erm	10	5	60	72	14	28	14	43	2	47	12	9
Der-1	919	825	508	938	935	1028	1052	870	870	771	712	663
CG15356	588	676	476	778	830	673	849	633	650	753	690	614
CG15362	68	76	50	93	61	110	70	85	57	96	64	58
CG7289	776	748	595	791	817	857	899	727	796	685	554	518
Got2	2467	2652	1909	2285	2626	2304	2320	1993	2239	2162	2056	1986
Npc2a	439	339	367	349	477	380	356	428	327	362	333	287
CR42874	3	4	11	0	8	0	1	1	1	0	0	0
Obp22a	0	0	0	0	0	0	0	0	0	0	0	0
CG33543	9	6	23	11	20	11	14	7	9	31	38	14
CR43464	1	0	2	0	0	0	0	0	1	0	0	0
CG15353	6129	7172	2275	5890	5965	3168	255	234	25	156	149	845
CR45712	1	3	0	2	1	1	0	0	0	0	1	0
Nplp4	803	1042	436	654	761	221	36	29	11	4	8	29
CG4238	188	220	178	269	276	216	183	147	155	164	108	136
CG42296	0	0	0	0	0	0	0	0	0	0	0	0
lectin-22C	0	0	0	1	0	0	0	0	0	0	0	0
Su(dx)	1129	1262	840	1510	1638	1505	1341	1202	1144	1192	1089	975
CR45298	0	1	0	0	0	0	0	2	1	7	1	0
Kebab	217	244	183	152	135	137	197	138	185	148	173	142
Or22c	1	0	0	0	0	0	3	1	0	1	0	1
dpr3	20	11	18	9	17	7	7	7	5	21	17	10
CG12674	0	4	0	0	0	0	0	0	0	0	0	0
CR44808	0	0	0	0	0	0	0	0	0	0	0	0
CR44055	0	0	0	0	0	0	0	0	0	0	0	0
CG4259	182	112	75	99	118	109	141	102	76	42	30	31
GlyP	2475	2819	2037	2185	2679	1720	1835	1980	2116	2217	2743	2355
tho2	2559	2629	1816	2975	3075	2651	2612	2266	2316	2240	2128	2055
CG11723	400	380	280	380	431	364	493	407	441	411	505	505
TBCD	1391	1468	1041	1713	1800	1674	1703	1451	1587	1571	1579	1620
AIF	874	922	646	1013	1042	968	1046	860	897	756	710	675
CG15382	18	14	28	23	22	21	13	11	5	9	5	8
aop	4814	5020	3080	6130	6978	5899	3683	3220	2787	3073	2902	2872
CR43751	18	15	10	18	22	19	5	7	6	6	9	4
CR44066	0	2	0	0	0	0	0	0	0	0	1	0
CR45290	4	9	6	2	1	1	0	5	4	2	6	6
CG10874	441	413	336	413	466	440	375	341	319	376	341	335
CR44065	2	0	2	3	2	2	3	1	0	0	0	3
CG34172	0	2	1	0	1	1	0	0	2	0	0	0
CG31668	0	0	0	1	0	2	0	0	0	0	0	0
CG33124	0	0	0	0	0	0	0	0	0	0	0	0
CG15385	43	42	57	28	43	29	28	23	28	46	37	25
Uch	2059	2067	1631	2681	2713	2561	2412	2070	2191	1918	2101	1768
CG34174	215	202	140	203	247	237	172	163	184	187	147	163
CG10880	435	446	270	376	451	372	412	435	366	378	388	338
CG42371	0	0	0	0	0	0	0	0	0	0	0	0
CG15386	0	0	0	0	0	0	0	0	0	0	0	0
mio	512	528	379	593	623	513	665	572	645	631	711	600
papi	1218	1291	904	1367	1565	1330	1446	1206	1250	1425	1368	1178
CG15387	592	614	450	676	677	663	552	469	477	463	460	493
sau	2241	2246	1830	2371	2428	2557	2269	1908	1834	1803	1823	1696
CR44114	8	15	7	17	31	28	11	16	19	12	10	6
Sec24CD	2616	2639	1820	2990	3076	3161	2669	2139	2031	2134	1724	1673
CR44115	0	1	0	0	1	3	2	0	1	0	0	1
Tengl3	0	3	0	0	3	0	0	0	0	0	0	0
Tengl2	0	0	0	0	0	0	0	0	0	0	0	0
Tengl1	0	7	1	0	2	0	0	0	0	0	0	0
CG4267	205	133	212	120	261	121	79	71	75	78	86	78
CR42859	0	2	1	0	0	0	0	0	0	0	0	0
Ser12	0	0	0	0	0	0	0	0	0	0	0	0
CG17239	0	0	0	0	0	0	0	0	0	0	0	0
CG17234	0	0	0	0	0	0	0	0	0	0	0	0
Send1	0	0	0	0	0	0	0	0	0	0	0	0
CR44787	0	0	0	0	0	0	0	0	0	0	0	0
CR44788	0	0	0	0	0	0	0	0	0	0	0	0
CG4270	0	4	0	0	0	0	0	0	0	0	0	0
CG34049	0	0	0	0	0	0	0	0	0	0	0	0
CG17242	0	0	0	0	0	0	0	0	0	0	0	0
CR43753	0	0	0	0	0	0	0	0	0	0	0	1
CR43754	0	0	0	0	0	0	0	0	0	0	0	0
CG4271	0	0	0	0	0	0	0	0	0	0	0	0
CG31681	0	0	0	0	0	0	0	0	0	1	0	0
CG42658	0	0	0	0	1	0	0	0	0	0	0	0
CG17237	0	3	0	0	0	0	0	0	0	0	0	1
robl22E	0	1	0	0	0	0	0	0	0	0	0	0
CG31949	0	4	0	0	1	0	0	0	0	0	0	0
CG16995	0	1	0	17	18	7	0	0	0	2	1	10
CG9967	226	216	112	199	193	164	206	215	189	194	177	184
eys	19	10	24	46	31	16	18	23	10	62	87	36
Rab5	3117	3156	2412	3620	3997	3616	3188	2895	2681	2658	2346	2395
Axud1	1027	1108	777	1307	1390	1170	795	647	674	1062	1126	1015
CG3597	5	8	36	2	28	0	2	1	5	17	1	2
CG3609	892	958	668	1007	957	832	881	766	886	796	775	784
CG15390	46	71	53	59	63	64	66	49	58	49	54	32
CR44982	0	0	0	0	1	0	1	0	1	0	0	0
Atxn7	717	731	465	899	896	769	756	622	643	738	705	610
Eogt	624	635	460	897	927	851	761	582	649	835	832	780
CG9870	129	103	104	179	181	148	114	95	103	131	77	109
CG3557	0	0	2	0	0	0	0	0	0	0	0	0
CG43750	0	5	0	0	0	0	0	0	0	0	0	0
VGlut	44	11	105	96	8	5	1	59	2	124	68	0
CG18641	7	35	8	14	8	9	7	5	4	9	12	13
CG31948	0	18	2	0	5	0	0	0	0	0	0	0
CG34448	0	0	0	0	0	0	0	0	0	0	0	0
CG34447	0	0	0	0	0	0	0	0	0	0	0	0
CG9886	168	138	122	150	206	156	179	167	173	161	197	180
CG44139	0	0	0	0	0	0	0	0	0	0	0	0
CR44912	3	1	4	4	1	1	3	2	1	1	0	1
dpp	676	740	523	763	919	790	950	873	849	717	733	811
CR45286	0	0	0	0	0	0	0	0	1	0	0	0
Slh	934	901	522	1015	953	1084	905	750	821	831	694	717
oaf	601	628	444	698	792	707	727	654	618	595	586	656
CR44607	0	0	0	0	0	0	0	0	0	0	0	0
CG3528	0	1	0	0	1	0	0	0	0	0	0	0
CR46069	0	0	0	0	0	0	0	0	0	0	0	0
CR44112	0	0	0	0	0	0	0	0	0	0	0	0
CG3515	0	1	1	0	1	0	0	0	0	0	0	0
CR44113	0	0	0	0	0	0	0	0	0	0	0	0
Cyp309a1	11	6	54	1	11	1	2	1	12	1	0	0
Cyp309a2	0	0	0	2	0	0	2	0	1	0	0	1
Sws1	0	0	0	0	0	0	0	0	0	0	0	0
Rad1	0	0	0	0	0	0	0	0	0	0	0	0
insv	234	231	180	279	247	263	256	218	208	199	181	174
Elba2	71	62	46	85	76	85	100	71	93	85	98	72
ND-B17.2	595	681	471	608	714	636	750	642	738	616	665	578
Arpc5	942	949	608	965	1081	1213	1028	941	970	950	1067	871
Drp1	1753	1871	1246	1988	2203	2001	2191	1938	1960	1733	1774	1634
CG15394	0	3	4	5	1	1	1	4	3	0	0	0
CR44790	0	0	0	0	0	0	0	0	0	0	0	0
CR44789	0	0	0	0	0	0	0	0	0	0	0	0
CG15395	0	1	0	0	0	0	0	0	0	0	0	0
CG43403	0	0	0	0	0	0	0	0	0	0	0	0
CR45705	0	0	0	0	0	0	0	0	0	0	0	0
CR43852	0	0	0	0	0	0	0	0	0	0	0	0
CG9962	0	0	0	0	0	0	0	0	0	0	0	0
CG43851	0	0	0	0	0	0	0	0	0	0	0	0
CG33125	0	1	0	0	0	0	0	0	0	0	0	0
Prosbeta4R1	0	1	0	0	4	0	0	0	0	0	0	0
Or23a	0	0	0	0	0	0	0	0	0	0	0	0
Prosbeta4R2	0	3	0	0	2	0	0	0	0	0	0	0
CG9879	0	0	0	0	0	0	0	0	0	0	0	0
Gr23a	0	0	0	0	0	0	0	0	0	0	0	0
CG31690	75	81	86	183	148	207	149	148	90	144	110	126
CG15398	0	0	0	0	0	0	0	0	0	0	0	0
CG31689	152	103	90	114	155	34	31	20	27	32	24	11
mir-4914	0	0	0	0	0	0	0	0	0	0	0	0
Hrs	592	628	387	798	825	762	796	685	690	679	602	583
CG9961	1	8	0	1	5	6	25	17	19	5	14	2
Cwc25	372	386	290	473	503	448	459	368	428	373	326	306
Pgk	3934	3920	2668	3960	4426	3947	3665	3670	3742	3791	3880	3758
Bacc	13386	14226	11636	16835	18116	15911	15526	15305	14504	13800	15862	15550
CR44772	0	0	0	0	1	1	0	0	0	1	0	1
CG9960	0	0	0	0	0	0	0	0	0	0	0	0
Snapin	0	0	0	0	0	0	0	0	0	0	0	0
Trn-SR	487	519	376	653	646	563	628	510	481	488	412	383
CG3077	252	298	167	328	354	357	357	276	248	313	334	323
aph-1	582	659	439	599	685	613	732	626	638	590	602	637
Taf10b	486	517	344	465	509	458	490	453	502	417	439	411
Taf10	522	527	351	474	506	489	459	431	492	419	448	419
colt	899	948	710	1204	1222	1226	1187	1000	993	954	835	813
CG2862	1741	1783	1227	1530	1732	1699	1892	1652	1727	1566	1647	1607
CG15399	0	1	0	0	0	1	0	0	1	1	0	0
Syt1	293	254	593	391	512	272	132	182	123	192	254	156
CR43821	0	0	0	0	0	0	0	0	0	0	0	0
daw	127	117	160	104	182	67	398	381	229	77	52	22
CG2964	0	3	3	0	0	0	0	0	0	0	0	0
G6P	20	21	18	27	28	20	19	18	11	18	15	26
Duox	1785	1997	1231	2217	2263	2079	1768	1570	1506	1764	1773	1695
CG3123	1	0	1	2	2	0	0	0	0	3	0	0
CG3119	6	8	3	0	3	1	2	5	7	4	2	6
Cpr23B	0	0	0	0	0	0	0	0	0	0	0	0
CR45342	0	0	0	0	0	0	1	0	1	0	0	0
CG2975	41	48	26	40	42	48	67	44	41	39	47	46
CG18558	0	0	0	0	2	0	0	0	0	1	1	0
CG18557	4	5	14	0	24	1	1	3	13	10	19	3
CG3117	20	15	56	3	65	0	0	0	7	8	0	0
